Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type,imagePath,pixelWidth,pixelHeight,scale
Cristiana Masi,Flora,4704B,18511,18511,"1,9 straight",0.53,10.05,"1,9",Straight,,,/local-textures/Flora/18511.jpg,1134,1134,0.53
Cristiana Masi,Flora,4716A,18513,18513,"7,7 straight",0.53,10.05,"7,7",Straight,,,/local-textures/Flora/18513.jpg,1134,1134,0.53
Cristiana Masi,Flora,4705A,18514,18514,"7,7 straight",0.53,10.05,"7,7",Straight,,,/local-textures/Flora/18514.jpg,1134,1134,0.53
Cristiana Masi,Flora,4714A,18515,18515,"7,7 straight",0.53,10.05,"7,7",Straight,,,/local-textures/Flora/18515.jpg,1134,1134,0.53
Cristiana Masi,Flora,4732A,18516,18516,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18516.jpg,1134,1134,0.53
Cristiana Masi,Flora,4740A,18517,18517,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18517.jpg,1134,1134,0.53
Cristiana Masi,Flora,4720A,18518,18518,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18518.jpg,1134,1134,0.53
Cristiana Masi,Flora,4725A,18519,18519,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18519.jpg,1134,1134,0.53
Cristiana Masi,Flora,4727A,18521,18521,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18521.jpg,1134,1134,0.53
Cristiana Masi,Flora,4736A,18522,18522,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18522.jpg,1134,1134,0.53
Cristiana Masi,Flora,4723A,18523,18523,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18523.jpg,1134,1134,0.53
Cristiana Masi,Flora,4733A,18524,18524,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18524.jpg,1134,1134,0.53
Cristiana Masi,Flora,4722A,18526,18526,"26,5 straight",0.53,10.05,"26,5",Straight,,,/local-textures/Flora/18526.jpg,1134,1134,0.53
Cristiana Masi,Flora,4730A,18527,18527,"26,5 straight",0.53,10.05,"26,5",Straight,,,/local-textures/Flora/18527.jpg,1134,1134,0.53
Cristiana Masi,Flora,4742A,18528,18528,"26,5 straight",0.53,10.05,"26,5",Straight,,,/local-textures/Flora/18528.jpg,1134,1134,0.53
Cristiana Masi,Flora,4737B,18531,18531,"13,3 straight",0.53,10.05,"13,3",Straight,,,/local-textures/Flora/18531.jpg,1134,1134,0.53
Cristiana Masi,Flora,4731B,18532,18532,"13,3 straight",0.53,10.05,"13,3",Straight,,,/local-textures/Flora/18532.jpg,1134,1134,0.53
Cristiana Masi,Flora,4726B,18533,18533,"13,3 straight",0.53,10.05,"13,3",Straight,,,/local-textures/Flora/18533.jpg,1134,1134,0.53
Cristiana Masi,Flora,4739B,18535,18535,"17,7 straight",0.53,10.05,"17,7",Straight,,,/local-textures/Flora/18535.jpg,1134,1134,0.53
Cristiana Masi,Flora,4729B,18536,18536,"17,7 straight",0.53,10.05,"17,7",Straight,,,/local-textures/Flora/18536.jpg,1134,1134,0.53
Cristiana Masi,Flora,4724B,18537,18537,"17,7 straight",0.53,10.05,"17,7",Straight,,,/local-textures/Flora/18537.jpg,1134,1134,0.53
Cristiana Masi,Flora,4735B,18538,18538,"17,7 straight",0.53,10.05,"17,7",Straight,,,/local-textures/Flora/18538.jpg,1134,1134,0.53
Cristiana Masi,Flora,4746A,18541,18541,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/Flora/18541.jpg,1134,1134,0.53
Cristiana Masi,Flora,4748A,18542,18542,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/Flora/18542.jpg,1134,1134,0.53
Cristiana Masi,Flora,4743A,18543,18543,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/Flora/18543.jpg,1134,1134,0.53
Cristiana Masi,Flora,4749A,18544,18544,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/Flora/18544.jpg,1134,1134,0.53
Cristiana Masi,Flora,4745A,18546,18546,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18546.jpg,1134,1134,0.53
Cristiana Masi,Flora,4744A,18547,18547,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18547.jpg,1134,1134,0.53
Cristiana Masi,Flora,4751A,18548,18548,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18548.jpg,1134,1134,0.53
Cristiana Masi,Flora,4747A,18549,18549,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18549.jpg,1134,1134,0.53
Cristiana Masi,Flora,4755A,18552,18552,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18552.jpg,1134,1134,0.53
Cristiana Masi,Flora,4758A,18553,18553,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18553.jpg,1134,1134,0.53
Cristiana Masi,Flora,4752A,18554,18554,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18554.jpg,1134,1134,0.53
Cristiana Masi,Flora,4757A,18556,18556,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18556.jpg,1134,1134,0.53
Cristiana Masi,Flora,4756A,18557,18557,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18557.jpg,1134,1134,0.53
Cristiana Masi,Flora,4754A,18558,18558,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18558.jpg,1134,1134,0.53
Cristiana Masi,Flora,4710B,18562,18562,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18562.jpg,1134,1134,0.53
Cristiana Masi,Flora,4759B,18563,18563,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18563.jpg,1134,1134,0.53
Cristiana Masi,Flora,4753B,18564,18564,53 straight,0.53,10.05,53,Straight,,,/local-textures/Flora/18564.jpg,1134,1134,0.53
Cristiana Masi,Flora,4728B,18570,18570,zero,0.53,10.05,zero,,,,/local-textures/Flora/18570.jpg,1134,1134,0.53
Cristiana Masi,Flora,4721B,18572,18572,zero,0.53,10.05,zero,,,,/local-textures/Flora/18572.jpg,1134,1134,0.53
Cristiana Masi,Flora,4711B,18573,18573,zero,0.53,10.05,zero,,,,/local-textures/Flora/18573.jpg,1134,1134,0.53
Cristiana Masi,Flora,4741B,18575,18575,zero,0.53,10.05,zero,,,,/local-textures/Flora/18575.jpg,1134,1134,0.53
Cristiana Masi,Flora,4708B,18581,18581,zero/53 offset,0.53,10.05,zero/53,Offset,zero/53,Offset,/local-textures/Flora/18581.jpg,1134,1134,0.53
Cristiana Masi,Flora,4703B,18582,18582,zero/53 offset,0.53,10.05,zero/53,Offset,zero/53,Offset,/local-textures/Flora/18582.jpg,1134,1134,0.53
Cristiana Masi,Flora,4715B,18583,18583,zero/53 offset,0.53,10.05,zero/53,Offset,zero/53,Offset,/local-textures/Flora/18583.jpg,1134,1134,0.53
Cristiana Masi,Flora,4738B,18585,18585,zero/53 offset,0.53,10.05,zero/53,Offset,zero/53,Offset,/local-textures/Flora/18585.jpg,1134,1134,0.53
Cristiana Masi,Flora,4718B,18586,18586,zero/53 offset,0.53,10.05,zero/53,Offset,zero/53,Offset,/local-textures/Flora/18586.jpg,1134,1134,0.53
Cristiana Masi,Flora,4750B,18588,18588,zero/53 offset,0.53,10.05,zero/53,Offset,zero/53,Offset,/local-textures/Flora/18588.jpg,1134,1134,0.53
Cristiana Masi,Flora,4734B,18589,18589,zero/53 offset,0.53,10.05,zero/53,Offset,zero/53,Offset,/local-textures/Flora/18589.jpg,1134,1134,0.53
Cristiana Masi,Friends & Coffee 2,4601,16601,16601,53 offset,0.53,10.1,53,Offset,53,Offset,/local-textures/Friends & Coffee 2/16601.jpg,850,850,0.53
Cristiana Masi,Friends & Coffee 2,4619,16602,16602,53 offset,0.53,10.1,53,Offset,53,Offset,/local-textures/Friends & Coffee 2/16602.jpg,850,850,0.53
Cristiana Masi,Friends & Coffee 2,4627,16603,16603,53 offset,0.53,10.1,53,Offset,53,Offset,/local-textures/Friends & Coffee 2/16603.jpg,850,850,0.53
Cristiana Masi,Friends & Coffee 2,4610,16605,16605,zero/53 offset,0.53,10.1,zero/53,Offset,zero/53,Offset,/local-textures/Friends & Coffee 2/16605.jpg,850,850,0.53
Cristiana Masi,Friends & Coffee 2,4607,16606,16606,zero/53 offset,0.53,10.1,zero/53,Offset,zero/53,Offset,/local-textures/Friends & Coffee 2/16606.jpg,850,850,0.53
